state,original_name,fixed_name,notes
AR,UNIV OF AR MED SCIENCE PD,UNIVERSITY OF ARKANSAS MED SCIENCE POLICE [HIGHER-ED],
AR,UNIV OF AR MED SCIENCE POLICE HI_ED,UNIVERSITY OF ARKANSAS MED SCIENCE POLICE [HIGHER-ED],
AZ,DOI/BUR OF LAND MGMT TUCSON,"BUREAU OF LAND MANAGEMENT, USCON FIELD OFFICE",
CO,UNIV OF N CO POLICE DEPT HI_ED,UNIVERSITY OF NORTHERN COLORADO POLICE DEPARTMENT [HIGHER-ED],
DC,DC/HOMELAND SECU EMER MGMT AGCY,DC HOMELAND SECURITY,
DC,HOMELAND SEC. EMER. MNG (HSEMA),DC HOMELAND SECURITY,
DC,HOMELAND SECURITY EMER MGMT AGCY,DC HOMELAND SECURITY,
DE,DE NATURAL RESOURCES POLICE ECU,DELAWARE NATURAL RESOURCES POLICE,
DE,DE NATURAL RESOURCES POLICE ECU LEA,DELAWARE NATURAL RESOURCES POLICE,
DE,"DE NATURAL RESOURCES POLICE, ECU",DELAWARE NATURAL RESOURCES POLICE,
DE,NATURAL RESOURCES POLICE ECU,DELAWARE NATURAL RESOURCES POLICE,
IL,COOK CO HOMELAND SEC EMER MGMT,COOK COUNTY DEPARTMENT OF EMERGENCY MANAGEMENT AND REGIONAL SECURITY,
KS,HOLTON POLICE DET,HOLTON POLICE,
MA,BILLERICA AUXILIARY POLICE (EMA),BILLERICA EMERGENCY MANAGEMENT AUXILIARY POLICE,
MD,NATURAL RESOURCES POLICE DNR,MARYLAND NATURAL RESOURCES POLICE,
MI,DEPT OF NATURAL RESOURCES,MICHIGAN DEPARTMENT OF NATURAL RESOURCES,
MI,MI DEPT OF NATURAL RESOURCES,MICHIGAN DEPARTMENT OF NATURAL RESOURCES,
MO,ELLISVILLE MISSOURI POLICE DEPT,ELLISVILLE POLICE,
MO,MID MO DRUG TASK FORCE,MID-MISSOURI MULTI JURISDICTIONAL DRUG TASK FORCE,
NC,CUMBERLAND COUNTY ABC LAW ENF,CUMBERLAND COUNTY ALCOHOLIC BEVERAGE CONTROL,
NC,TRIAD ALCOHOLIC BEV CONTROL LE,TRIAD ALCOHOLIC BEVERAGE CONTROL,
NV,LAS VEGAS FIRE  RESCUE BS LEA,LAS VEGAS FIRE AND RESCUE BS
NV,LAS VEGAS FIRE & RESCUE BS,LAS VEGAS FIRE AND RESCUE BS
OH,DEPT OF NATURAL RESOURCES,OHIO DEPARTMENT OF NATURAL RESOURCES,
OH,FAIRFIELD MED CTR POLICE DEPT,FAIRFIELD MEDICAL CENTER POLICE,
OH,NT RAILWAY PD (REPUBLIC STEEL),NT RAILWAY PD (REPUBLIC STEEL),no idea what this is supposed to be TKTK
OH,OH DEPT OF NATURAL RESOURCES,OHIO DEPARTMENT OF NATURAL RESOURCES,
OH,YOUNGSTOWN STATE UNIV PD ACAD HI_ED,YOUNGSTOWN STATE UNIV POLICE ACADEMY [HIGHER-ED],
OH,YOUNGSTOWN STATE UNIV POLICE ACAD,YOUNGSTOWN STATE UNIV POLICE ACADEMY [HIGHER-ED],
PR,PR DEPT OF NATURAL  ENV RESOURCES,PUERTO RICO DEPARTMENT OF NATURAL ENVIRONMENT AND NATURAL RESOURCES,
PR,PR DEPT OF NATURAL & ENV RESOURCES,PUERTO RICO DEPARTMENT OF NATURAL ENVIRONMENT AND NATURAL RESOURCES,
SC,LE TRG COUNCIL/CRIM JUST ACADEMY,SOUTH CAROLINA CRIMINAL JUSTICE ACADEMY,
SC,LE TRG COUNCIL/CRIM JUST ACADEMY|SC LE TRG COUNCIL/CRIM JUST ACADEMY,SOUTH CAROLINA CRIMINAL JUSTICE ACADEMY,
SC,SC LE TRG COUNCIL/CRIM JUST ACADEMY,SOUTH CAROLINA CRIMINAL JUSTICE ACADEMY,
TN,DEPT OF CORR OFF OF INV AND COMP,TENNESSEE DEPARTMENT OF CORRECTIONS,
TN,TN 9TH JUDICIAL DISTRICT DA,TENNESSEE 9TH JUDICIAL DISTRICT ATTORNEY,
TX,"COLLIN COUNTY CONSTABLES OFFICE, PCT 4",COLLIN COUNTY CONSTABLE PRECINCT 4,
TX,DPS SWAT- TEXAS RANGERS,TEXAS RANGERS,TKTK
TX,DPS SWAT- TEXAS RANGERS (LEA),TEXAS RANGERS,TKTK
TX,MARSHALL PARTMENT,MARSHALL POLICE,TKTK guessing here
TX,MONTGOMERY CTY CONSTABLE PCT 3 LEA,MONTGOMERY COUNTY CONSTABLE,should I include precincts?
TX,MONTGOMERY CTY FIRE MARSHALS OFFIC,MONTGOMERY COUNTY FIRE MARSHAL,
WA,DOI/BIA YAKAMA NATION NATURAL PD,DOI/BIA YAKAMA NATION NATURAL POLICE,TK
WA,WA DEPT OF FISH  WILDLIFE ENF LEA,WASHINGTON DEPARTMENT OF FISH AND WILDLIFE,
WA,YAKAMA NATION NATURAL PROT DEPT,YAKAMA NATION NATURAL PROT DEPARTMENT,TKTKTKT
WI,REG EMER ALL-CLIMATE TNG CTR REACT,REGIONAL EMERGENCY ALL-CLIMATE TRAINING CENTER,
WI,WISCONSIN DNR BUREAU OF LAW PARKS,WISCONSIN DEPARTMENT OF NATURAL RESOURCES,
WY,WY STATE PARK  CULTURAL RES. LE,WYOMING STATE PARKS,
WY,WY STATE PARK HISTORICAL SITES LEA,WYOMING STATE PARKS,
WY,WY STATE PARKS  HISTORICAL SITES,WYOMING STATE PARKS,
